epoch,bc_success_rate,bc_rnn_success_rate
50,0.28,0.14
100,0.76,0.70
150,0.94,0.82
200,0.92,0.90
250,0.96,0.98
300,0.98,1.00
350,0.94,1.00
400,0.88,1.00
450,0.96,1.00
500,0.98,1.00
550,0.96,1.00
600,1.00,1.00
650,0.94,0.98
700,0.96,1.00
750,0.92,1.00
800,1.00,0.98
850,0.92,0.98
900,0.88,1.00
950,0.96,1.00
1000,0.96,0.98
1050,0.98,1.00
1100,0.90,0.94
1150,0.96,0.98
1200,0.90,1.00
1250,0.94,0.98
1300,0.94,0.94
1350,0.96,0.96
1400,0.92,0.96
1450,0.88,0.94
1500,0.92,0.94
1550,0.86,0.92
1600,0.98,0.96
1650,0.92,0.98
1700,0.96,1.00
1750,0.92,0.96
1800,0.92,0.90
1850,0.96,0.94
1900,0.94,0.92
1950,0.98,0.90
2000,0.96,0.96
