method,train_seed,epoch,updates,evaluation_episodes,success_count,success_rate,mean_horizon,mean_return
Vision BC,1,20,10000,50,45,0.9,83.24,0.9
Vision BC,1,40,20000,50,48,0.96,60.82,0.96
Vision BC,1,60,30000,50,47,0.94,66.98,0.94
Vision BC,1,80,40000,50,50,1.0,44.06,1.0
Vision BC,1,100,50000,50,47,0.94,73.18,0.94
Vision BC,1,120,60000,50,48,0.96,61.02,0.96
Vision BC,1,140,70000,50,50,1.0,54.58,1.0
Vision BC,1,160,80000,50,46,0.92,77.22,0.92
Vision BC,1,180,90000,50,45,0.9,87.06,0.9
Vision BC,1,200,100000,50,50,1.0,47.26,1.0
Vision BC,1,220,110000,50,49,0.98,55.44,0.98
Vision BC,1,240,120000,50,49,0.98,54.58,0.98
Vision BC,1,260,130000,50,47,0.94,78.98,0.94
Vision BC,1,280,140000,50,47,0.94,84.16,0.94
Vision BC,1,300,150000,50,48,0.96,58.36,0.96
Vision BC,1,320,160000,50,49,0.98,60.8,0.98
Vision BC,1,340,170000,50,47,0.94,66.44,0.94
Vision BC,1,360,180000,50,49,0.98,56.42,0.98
Vision BC,1,380,190000,50,50,1.0,46.28,1.0
Vision BC,1,400,200000,50,46,0.92,73.38,0.92
Vision BC,1,420,210000,50,49,0.98,54.12,0.98
Vision BC,1,440,220000,50,47,0.94,72.38,0.94
Vision BC,1,460,230000,50,47,0.94,67.56,0.94
Vision BC,1,480,240000,50,48,0.96,64.08,0.96
Vision BC,1,500,250000,50,49,0.98,54.9,0.98
Vision BC,1,520,260000,50,48,0.96,65.58,0.96
Vision BC,1,540,270000,50,49,0.98,54.4,0.98
Vision BC,1,560,280000,50,48,0.96,62.92,0.96
Vision BC,1,580,290000,50,48,0.96,67.72,0.96
Vision BC,1,600,300000,50,48,0.96,65.48,0.96
